ONS ID,ONS region ID,Constituency,County name,Region name,Country name,Constituency type,Declaration time,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,WinningVotes,WinningShare,Majority,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,County,13/12/2019 02:30,Stephen,Kinnock,Male,Lab hold,Lab,Con,"50,750","31,598",82,"17,008",53.8%,"10,490","6,518","17,008","1,072","3,108",450,0,"2,711",0,0,0,0,0,731,0
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,County,13/12/2019 03:09,Robin,Millar,Male,Con hold,Con,Lab,"44,699","31,865",123,"14,687",46.1%,"2,034","14,687","12,653","1,821",0,0,0,"2,704",0,0,0,0,0,0,0
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Burgh,13/12/2019 03:13,Kirsty,Blackman,Female,SNP hold,SNP,Con,"62,489","37,413",72,"20,205",54.0%,"12,670","7,535","4,939","2,846","1,008",880,"20,205",0,0,0,0,0,0,0,0
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Burgh,13/12/2019 03:34,Stephen,Flynn,Male,SNP gain from Con,SNP,Con,"65,719","45,638",131,"20,388",44.7%,"3,990","16,398","3,834","5,018",0,0,"20,388",0,0,0,0,0,0,0,0
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,County,13/12/2019 02:59,Neil,Gray,Male,SNP hold,SNP,Lab,"64,011","39,772",91,"17,929",45.1%,"5,201","7,011","12,728","1,419",0,685,"17,929",0,0,0,0,0,0,0,0
E14000530,E12000008,Aldershot,Hampshire,South East,England,Borough,13/12/2019 02:26,Leo,Docherty,Male,Con hold,Con,Lab,"72,617","47,932",251,"27,980",58.4%,"16,698","27,980","11,282","6,920",0,"1,750",0,0,0,0,0,0,0,0,0
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Borough,13/12/2019 02:51,Wendy,Morton,Female,Con hold,Con,Lab,"60,138","39,342",152,"27,850",70.8%,"19,836","27,850","8,014","2,371",0,771,0,0,0,0,0,0,0,336,0
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Borough,13/12/2019 04:35,Graham,Brady,Male,Con hold,Con,Lab,"73,107","54,763",173,"26,311",48.0%,"6,139","26,311","20,172","6,036",0,"1,566",0,0,0,0,0,0,0,678,0
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,County,13/12/2019 04:30,Mark,Tami,Male,Lab hold,Lab,Con,"62,789","43,008",121,"18,271",42.5%,213,"18,058","18,271","2,548","2,678",0,0,"1,453",0,0,0,0,0,0,0
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,County,13/12/2019 03:15,Nigel,Mills,Male,Con hold,Con,Lab,"69,976","45,567",151,"29,096",63.9%,"16,886","29,096","12,210","2,873",0,"1,388",0,0,0,0,0,0,0,0,0
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,County,13/12/2019 01:55,Dave,Doogan,Male,SNP gain from Con,SNP,Con,"63,952","43,170",92,"21,216",49.1%,"3,795","17,421","2,051","2,482",0,0,"21,216",0,0,0,0,0,0,0,0
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,County,13/12/2019 01:55,Hywel,Williams,Male,PC hold,PC,Lab,"42,215","29,074",92,"13,134",45.2%,"2,781","4,428","10,353",0,"1,159",0,0,"13,134",0,0,0,0,0,0,0
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,County,13/12/2019 05:43,Brendan,O'Hara,Male,SNP hold,SNP,Con,"66,525","48,050",142,"21,040",43.8%,"4,110","16,930","3,248","6,832",0,0,"21,040",0,0,0,0,0,0,0,0
