ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,FormulaWonVotes,FormulaWonShare,WinningVotes,WinningVoteShare,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
W07000081,W92000004,Aberafan Maesteg,,Wales,Wales,Stephen,Kinnock,Male,Lab hold,Lab,RUK,72580,35755,79,10354,17838,49.9%,17838,49.9%,2903,17838,916,7484,1094,0,4719,0,0,0,0,0,801,0
S14000060,S92000003,Aberdeen North,,Scotland,Scotland,Kirsty,Blackman,Female,SNP hold,SNP,Lab,75925,42095,115,1760,14533,34.5%,14533,34.5%,5881,12773,2583,3781,1275,14533,0,0,0,0,0,0,1269,0
S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Stephen,Flynn,Male,SNP hold,SNP,Lab,77328,46345,178,3758,15213,32.8%,15213,32.8%,11300,11455,2921,3199,1609,15213,0,0,0,0,0,0,648,0
S14000062,S92000003,Aberdeenshire North and Moray East,,Scotland,Scotland,Seamus,Logan,Male,SNP gain from Con,SNP,Con,70058,38188,170,942,13455,35.2%,13455,35.2%,12513,3876,2782,5562,0,13455,0,0,0,0,0,0,0,0
S14000063,S92000003,Airdrie and Shotts,,Scotland,Scotland,Kenneth,Stevenson,Male,Lab gain from SNP,Lab,SNP,70199,36666,95,7547,18871,51.5%,18871,51.5%,1696,18871,725,2971,0,11324,0,0,0,0,0,0,1079,0
E14001063,E12000008,Aldershot,,South East,England,Alex,Baker,Female,Lab gain from Con,Lab,Con,78553,48544,179,5683,19764,40.7%,19764,40.7%,14081,19764,4052,8210,2155,0,0,0,0,0,0,0,282,0
E14001064,E12000005,Aldridge-Brownhills,,West Midlands,England,Wendy,Morton,Female,Con hold,Con,Lab,70268,40912,156,4294,15901,38.9%,15901,38.9%,15901,11607,1755,9903,1746,0,0,0,0,0,0,0,0,0
S14000064,S92000003,Alloa and Grangemouth,,Scotland,Scotland,Brian,Leishman,Male,Lab gain from SNP,Lab,SNP,70680,41201,74,6122,18039,43.8%,18039,43.8%,3127,18039,1151,3804,1421,11917,0,0,0,0,0,0,1742,0
E14001065,E12000002,Altrincham and Sale West,,North West,England,Connor,Rand,Male,Lab gain from Con,Lab,Con,74025,51452,184,4174,20798,40.4%,20798,40.4%,16624,20798,4727,4961,3699,0,0,0,0,0,0,0,643,0
W07000082,W92000004,Alyn and Deeside,,Wales,Wales,Mark,Tami,Male,Lab hold,Lab,RUK,75790,43392,135,8794,18395,42.4%,18395,42.4%,7892,18395,2065,9601,1926,0,1938,0,0,0,0,0,1575,0
E14001066,E12000004,Amber Valley,,East Midlands,England,Linsey,Farnsworth,Female,Lab gain from Con,Lab,RUK,71546,42531,105,3554,15746,37.0%,15746,37.0%,10725,15746,1590,12192,2278,0,0,0,0,0,0,0,0,0
S14000065,S92000003,Angus and Perthshire Glens,,Scotland,Scotland,Dave,Doogan,Male,SNP hold,SNP,Con,76668,47348,224,4870,19142,40.4%,19142,40.4%,14272,6799,3156,3246,0,19142,0,0,0,0,0,0,733,0
S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,Stephen,Gethins,Male,SNP hold,SNP,Lab,76149,44117,161,859,15581,35.3%,15581,35.3%,6841,14722,2249,3800,0,15581,0,0,0,0,0,0,924,0
S14000067,S92000003,"Argyll, Bute and South Lochaber",,Scotland,Scotland,Brendan,O'Hara,Male,SNP hold,SNP,Con,71756,44862,216,6232,15582,34.7%,15582,34.7%,9350,8585,7359,3045,0,15582,0,0,0,0,0,0,941,0
E14001067,E12000008,Arundel and South Downs,,South East,England,Andrew,Griffith,Male,Con hold,Con,LD,77969,54740,214,12134,22001,40.2%,22001,40.2%,22001,9782,9867,7391,5515,0,0,0,0,0,0,0,184,0
E14001068,E12000004,Ashfield,,East Midlands,England,Lee,Anderson,Male,RUK gain from Con,RUK,Lab,68929,39882,102,5508,17062,42.8%,17062,42.8%,3271,11554,619,17062,1100,0,0,0,0,0,0,0,6276,0
E14001069,E12000008,Ashford,,South East,England,Sojan,Joseph,Male,Lab gain from Con,Lab,Con,76233,46975,164,1779,15262,32.5%,15262,32.5%,13483,15262,2445,10141,4355,0,0,0,0,0,0,0,1289,0
E14001070,E12000002,Ashton-under-Lyne,,North West,England,Angela,Rayner,Female,Lab hold,Lab,RUK,71002,35461,136,6791,15575,43.9%,15575,43.9%,4375,15575,1411,8784,2481,0,0,0,0,0,0,0,2835,0
E14001071,E12000008,Aylesbury,,South East,England,Laura,Kyrke-Smith,Female,Lab gain from Con,Lab,Con,79169,49940,213,630,15081,30.2%,15081,30.2%,14451,15081,10440,6746,2590,0,0,0,0,0,0,0,632,0
S14000107,S92000003,"Ayr, Carrick and Cumnock",,Scotland,Scotland,Elaine,Stewart,Female,Lab gain from SNP,Lab,SNP,70340,40936,120,4154,14930,36.5%,14930,36.5%,9247,14930,1081,3544,886,10776,0,0,0,0,0,0,472,0
E14001072,E12000008,Banbury,,South East,England,Sean,Woodcock,Male,Lab gain from Con,Lab,Con,73250,48178,187,3256,18468,38.3%,18468,38.3%,15212,18468,4352,6284,2615,0,0,0,0,0,0,0,1247,0
W07000083,W92000004,Bangor Aberconwy,,Wales,Wales,Claire,Hughes,Female,Lab gain from Con,Lab,PC,70527,41660,154,4896,14008,33.6%,14008,33.6%,9036,14008,1524,6091,1361,0,9112,0,0,0,0,0,528,0
E14001073,E12000007,Barking,,London,England,Nesil,Caliskan,Female,Lab hold,Lab,RUK,79822,36477,120,11054,16227,44.5%,16227,44.5%,4294,16227,1015,5173,4988,0,0,0,0,0,0,0,4780,0
E14001074,E12000003,Barnsley North,,Yorkshire and The Humber,England,Dan,Jarvis,Male,Lab hold,Lab,RUK,78274,36894,114,7811,18610,50.4%,18610,50.4%,3083,18610,1336,10799,1805,0,0,0,0,0,0,0,1261,0
E14001075,E12000003,Barnsley South,,Yorkshire and The Humber,England,Stephanie,Peacock,Female,Lab hold,Lab,RUK,75853,35082,78,4748,16399,46.7%,16399,46.7%,3247,16399,1172,11651,1521,0,0,0,0,0,0,0,1092,0
E14001076,E12000002,Barrow and Furness,,North West,England,Michelle,Scrogham,Female,Lab gain from Con,Lab,Con,74980,42221,141,5324,18537,43.9%,18537,43.9%,13213,18537,1680,7035,1466,0,0,0,0,0,0,0,290,0
E14001077,E12000006,Basildon and Billericay,,East of England,England,Richard,Holden,Male,Con hold,Con,Lab,76873,42124,176,20,12905,30.6%,12905,30.6%,12905,12885,2292,11354,2123,0,0,0,0,0,0,0,565,0
E14001078,E12000008,Basingstoke,,South East,England,Luke,Murphy,Male,Lab gain from Con,Lab,Con,78487,48989,189,6484,20922,42.7%,20922,42.7%,14438,20922,3176,6314,3568,0,0,0,0,0,0,0,571,0
E14001079,E12000004,Bassetlaw,,East Midlands,England,Jo,White,Female,Lab gain from Con,Lab,Con,78161,44878,150,5768,18476,41.2%,18476,41.2%,12708,18476,1996,9751,1947,0,0,0,0,0,0,0,0,0
E14001080,E12000009,Bath,,South West,England,Wera,Hobhouse,Female,LD hold,LD,Lab,69662,48130,192,11218,19883,41.3%,19883,41.3%,7659,8665,19883,3798,5952,0,0,0,0,0,0,0,2173,0
S14000068,S92000003,Bathgate and Linlithgow,,Scotland,Scotland,Kirsteen,Sullivan,Female,Lab gain from SNP,Lab,SNP,72185,42065,92,8323,19774,47.0%,19774,47.0%,3144,19774,2171,3524,1390,11451,0,0,0,0,0,0,611,0
E14001081,E12000007,Battersea,,London,England,Marsha,De Cordova,Female,Lab hold,Lab,Con,72827,47082,237,12039,22983,48.8%,22983,48.8%,10944,22983,4826,2825,4239,0,0,0,0,0,0,0,1265,0
E14001082,E12000008,Beaconsfield,,South East,England,Joy,Morrissey,Female,Con hold,Con,LD,72751,47726,162,5455,18494,38.8%,18494,38.8%,18494,7216,13039,6055,1977,0,0,0,0,0,0,0,945,0
E14001083,E12000007,Beckenham and Penge,,London,England,Liam,Conlon,Male,Lab hold,Lab,Con,77198,52222,218,12905,25753,49.3%,25753,49.3%,12848,25753,4436,5355,3830,0,0,0,0,0,0,0,0,0
E14001084,E12000006,Bedford,,East of England,England,Mohammad,Yasin,Male,Lab hold,Lab,Con,72478,40659,210,9430,18342,45.1%,18342,45.1%,8912,18342,4025,4548,2394,0,0,0,0,0,0,0,2438,0
N05000001,N92000002,Belfast East,,Northern Ireland,Northern Ireland,Gavin,Robinson,Male,DUP hold,DUP,APNI,72917,42706,184,2676,19894,46.6%,19894,46.6%,0,0,0,0,1077,0,0,19894,0,619,1818,17218,2080,0
N05000002,N92000002,Belfast North,,Northern Ireland,Northern Ireland,John,Finucane,Male,SF hold,SF,DUP,74240,40452,293,5612,17674,43.7%,17674,43.7%,0,0,0,0,1206,0,0,12062,17674,1413,0,4274,3823,0
N05000003,N92000002,Belfast South and Mid Down,,Northern Ireland,Northern Ireland,Claire,Hanna,Female,SDLP hold,SDLP,APNI,74749,43491,266,12506,21345,49.1%,21345,49.1%,0,0,0,0,1577,0,0,6859,0,21345,2653,8839,2218,0
N05000004,N92000002,Belfast West,,Northern Ireland,Northern Ireland,Paul,Maskey,Male,SF hold,SF,PBPA,75346,39743,256,15961,21009,52.9%,21009,52.9%,0,0,0,0,451,0,0,4304,21009,4318,461,1077,8123,0
E14001085,E12000007,Bermondsey and Old Southwark,,London,England,Neil,Coyle,Male,Lab hold,Lab,LD,69482,37603,180,7787,16857,44.8%,16857,44.8%,2879,16857,9070,3397,4477,0,0,0,0,0,0,0,923,0
S14000108,S92000003,"Berwickshire, Roxburgh and Selkirk",,Scotland,Scotland,John,Lamont,Male,Con hold,Con,SNP,76438,46558,138,6599,18872,40.5%,18872,40.5%,18872,6311,3686,3340,1526,12273,0,0,0,0,0,0,550,0
E14001086,E12000007,Bethnal Green and Stepney,,London,England,Rushanara,Ali,Female,Lab hold,Lab,Ind,81439,46647,320,1689,15896,34.1%,15896,34.1%,1920,15896,4777,1964,6391,0,0,0,0,0,0,0,15699,0
E14001087,E12000003,Beverley and Holderness,,Yorkshire and The Humber,England,Graham,Stuart,Male,Con hold,Con,Lab,71994,44897,144,124,15501,34.5%,15501,34.5%,15501,15377,3386,8198,1647,0,0,0,0,0,0,0,788,0
E14001088,E12000008,Bexhill and Battle,,South East,England,Kieran,Mullan,Male,Con hold,Con,Lab,72198,47750,188,2657,16186,33.9%,16186,33.9%,16186,13529,3473,7929,2972,0,0,0,0,0,0,0,3661,0
E14001089,E12000007,Bexleyheath and Crayford,,London,England,Daniel,Francis,Male,Lab gain from Con,Lab,Con,70297,43461,118,2114,15717,36.2%,15717,36.2%,13603,15717,2204,9861,2076,0,0,0,0,0,0,0,0,0
E14001090,E12000008,Bicester and Woodstock,,South East,England,Calum,Miller,Male,LD gain from Con,LD,Con,74353,50219,167,4958,19419,38.7%,19419,38.7%,14461,8236,19419,5408,2404,0,0,0,0,0,0,0,291,0
E14001091,E12000002,Birkenhead,,North West,England,Alison,McGovern,Female,Lab hold,Lab,Green,78091,43134,142,13798,22468,52.1%,22468,52.1%,3238,22468,2292,6142,8670,0,0,0,0,0,0,0,324,0
E14001092,E12000005,Birmingham Edgbaston,,West Midlands,England,Preet,Gill,Female,Lab hold,Lab,Con,71787,37428,179,8368,16599,44.3%,16599,44.3%,8231,16599,2102,4363,2797,0,0,0,0,0,0,0,3336,0
E14001093,E12000005,Birmingham Erdington,,West Midlands,England,Paulette,Hamilton,Female,Lab hold,Lab,RUK,77463,34137,152,7019,14774,43.3%,14774,43.3%,5402,14774,1128,7755,2452,0,0,0,0,0,0,0,2626,0
E14001094,E12000005,Birmingham Hall Green and Moseley,,West Midlands,England,Tahir,Ali,Male,Lab hold,Lab,Ind,76936,41606,256,5656,12798,30.8%,12798,30.8%,3845,12798,4711,2305,3913,0,0,0,0,0,0,0,14034,0
E14001095,E12000005,Birmingham Hodge Hill and Solihull North,,West Midlands,England,Liam,Byrne,Male,Lab hold,Lab,WPB,77737,34136,127,1566,10655,31.2%,10655,31.2%,4634,10655,942,6456,2360,0,0,0,0,0,0,0,9089,0
